seed,family_size,arm,accepted,true_accepts,false_accepts,recall,empirical_fdr
46,100,VeraDM-prior,5,3,2,1.0,0.4
47,100,Exhaustive-Expanded,3,3,0,1.0,0.0
47,100,Random-25,0,0,0,0.0,0.0
47,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
48,100,Exhaustive-Expanded,3,3,0,1.0,0.0
48,100,Random-25,1,1,0,0.3333333333333333,0.0
48,100,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
49,100,Exhaustive-Expanded,4,3,1,1.0,0.25
49,100,Random-25,1,1,0,0.3333333333333333,0.0
49,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
50,100,Exhaustive-Expanded,3,2,1,0.6666666666666666,0.3333333333333333
50,100,Random-25,1,1,0,0.3333333333333333,0.0
50,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
51,100,Exhaustive-Expanded,3,3,0,1.0,0.0
51,100,Random-25,1,1,0,0.3333333333333333,0.0
51,100,VeraDM-prior,4,3,1,1.0,0.25
52,100,Exhaustive-Expanded,3,3,0,1.0,0.0
52,100,Random-25,0,0,0,0.0,0.0
52,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
53,100,Exhaustive-Expanded,4,3,1,1.0,0.25
53,100,Random-25,2,1,1,0.3333333333333333,0.5
53,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
54,100,Exhaustive-Expanded,4,3,1,1.0,0.25
54,100,Random-25,0,0,0,0.0,0.0
54,100,VeraDM-prior,1,1,0,0.3333333333333333,0.0
55,100,Exhaustive-Expanded,3,2,1,0.6666666666666666,0.3333333333333333
55,100,Random-25,1,1,0,0.3333333333333333,0.0
55,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
56,100,Exhaustive-Expanded,5,3,2,1.0,0.4
56,100,Random-25,1,1,0,0.3333333333333333,0.0
56,100,VeraDM-prior,3,3,0,1.0,0.0
57,100,Exhaustive-Expanded,4,3,1,1.0,0.25
57,100,Random-25,0,0,0,0.0,0.0
57,100,VeraDM-prior,3,3,0,1.0,0.0
58,100,Exhaustive-Expanded,4,3,1,1.0,0.25
58,100,Random-25,1,1,0,0.3333333333333333,0.0
58,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
59,100,Exhaustive-Expanded,3,3,0,1.0,0.0
59,100,Random-25,1,1,0,0.3333333333333333,0.0
59,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
60,100,Exhaustive-Expanded,5,3,2,1.0,0.4
60,100,Random-25,0,0,0,0.0,0.0
60,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
61,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
61,100,Random-25,0,0,0,0.0,0.0
61,100,VeraDM-prior,3,3,0,1.0,0.0
62,100,Exhaustive-Expanded,4,3,1,1.0,0.25
62,100,Random-25,1,1,0,0.3333333333333333,0.0
62,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
63,100,Exhaustive-Expanded,3,3,0,1.0,0.0
63,100,Random-25,0,0,0,0.0,0.0
63,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
64,100,Exhaustive-Expanded,3,3,0,1.0,0.0
64,100,Random-25,0,0,0,0.0,0.0
64,100,VeraDM-prior,4,3,1,1.0,0.25
65,100,Exhaustive-Expanded,3,3,0,1.0,0.0
65,100,Random-25,0,0,0,0.0,0.0
65,100,VeraDM-prior,3,3,0,1.0,0.0
66,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
66,100,Random-25,1,1,0,0.3333333333333333,0.0
66,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
67,100,Exhaustive-Expanded,3,3,0,1.0,0.0
67,100,Random-25,1,0,1,0.0,1.0
67,100,VeraDM-prior,3,3,0,1.0,0.0
68,100,Exhaustive-Expanded,5,3,2,1.0,0.4
68,100,Random-25,1,1,0,0.3333333333333333,0.0
68,100,VeraDM-prior,4,3,1,1.0,0.25
69,100,Exhaustive-Expanded,4,3,1,1.0,0.25
69,100,Random-25,0,0,0,0.0,0.0
69,100,VeraDM-prior,1,1,0,0.3333333333333333,0.0
70,100,Exhaustive-Expanded,3,3,0,1.0,0.0
70,100,Random-25,3,1,2,0.3333333333333333,0.6666666666666666
70,100,VeraDM-prior,4,3,1,1.0,0.25
71,100,Exhaustive-Expanded,3,3,0,1.0,0.0
71,100,Random-25,0,0,0,0.0,0.0
71,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
72,100,Exhaustive-Expanded,3,3,0,1.0,0.0
72,100,Random-25,2,2,0,0.6666666666666666,0.0
