counterfactual_effect,dataset,decision,family,holdout_ci_high,holdout_ci_low,holdout_effect,hypothesis,p_value,q_value,query,reason,split,support_holdout,support_validation,validation_effect
0.2837880665666956,BikeSharingHourly,accepted,weather,0.3267634362879283,0.2830052855737412,0.30475144218477934,IF x8 = 1 AND x10 = 1 THEN y = 1 increases,0.001996007984031936,0.002874251497005988,bike_clear_weather = 1 AND bike_temp_high = 1 -> P(y=1) increases,passes all verification gates,2011H1/2011H2/2012,0.2712388367300206,0.33629124004550626,0.19298076740195474
-0.18328944378658765,BikeSharingHourly,accepted,season,-0.24614312687782228,-0.2945527648004317,-0.26954767541005675,IF x15 = 1 THEN y = 1 decreases,0.001996007984031936,0.002874251497005988,bike_winter = 1 -> P(y=1) decreases,passes all verification gates,2011H1/2011H2/2012,0.24891229677123883,0.059385665529010236,-0.23028265741343162
0.25779174845808905,BikeSharingHourly,accepted,hour,0.28893188553804605,0.22896915275912685,0.2600854828674771,IF x3 = 1 THEN y = 1 increases,0.001996007984031936,0.002874251497005988,bike_morning_peak = 1 -> P(y=1) increases,passes all verification gates,2011H1/2011H2/2012,0.12502862376917792,0.12559726962457338,0.2566340268585458
-0.23295425612469128,BikeSharingHourly,accepted,weather,-0.21203978684801772,-0.28594569820215415,-0.24938959414381018,IF x9 = 1 THEN y = 1 decreases,0.001996007984031936,0.002874251497005988,bike_bad_weather = 1 -> P(y=1) decreases,passes all verification gates,2011H1/2011H2/2012,0.0732768490954889,0.09055745164960181,-0.2389273110611853
0.11230614911602047,BikeSharingHourly,accepted,season,0.19870228792672404,0.15789838599641762,0.1770238946610327,IF x0 = 1 THEN y = 1 increases,0.001996007984031936,0.002874251497005988,bike_warm_season = 1 -> P(y=1) increases,passes all verification gates,2011H1/2011H2/2012,0.5108770322876116,0.4550625711035267,0.11124008350730691
0.07379285398870473,BikeSharingHourly,accepted,weather,0.12997838932785605,0.08677806907777244,0.10817536331778649,IF x8 = 1 THEN y = 1 increases,0.001996007984031936,0.002874251497005988,bike_clear_weather = 1 -> P(y=1) increases,passes all verification gates,2011H1/2011H2/2012,0.6604076024730936,0.6780432309442548,0.08397087770057149
-0.2924593225576515,BikeSharingHourly,rejected,hour+season,-0.5064149801779255,-0.5269369845851316,-0.5175652598194682,IF x15 = 1 AND x6 = 1 THEN y = 1 decreases,0.001996007984031936,0.002874251497005988,bike_winter = 1 AND bike_night = 1 -> P(y=1) decreases,insufficient support,2011H1/2011H2/2012,0.061369361117471946,0.014334470989761093,-0.34025854108956605
0.603001341740173,BikeSharingHourly,rejected,calendar+hour,0.5198743412591448,0.4498330057743818,0.4875628821298661,IF x22 = 1 AND x4 = 1 THEN y = 1 increases,0.001996007984031936,0.002874251497005988,bike_september = 1 AND bike_evening_peak = 1 -> P(y=1) increases,insufficient support,2011H1/2011H2/2012,0.013739409205404167,0.027303754266211604,0.5890350877192982
0.33845621909348345,BikeSharingHourly,rejected,weather,0.4152272386500529,0.3351530282096207,0.3737743931461209,IF x13 = 1 AND x10 = 1 THEN y = 1 decreases,1.0,1.0,bike_wind_high = 1 AND bike_temp_high = 1 -> P(y=1) decreases,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,2011H1/2011H2/2012,0.037783375314861464,0.03708759954493743,0.18688751783084184
0.0,BikeSharingHourly,rejected,season,0.1717343277847403,0.12539738825700428,0.1488276468746373,IF x14 = 1 THEN y = 1 increases,0.001996007984031936,0.002874251497005988,bike_summer = 1 -> P(y=1) increases,matched counterfactual contrast is weak,2011H1/2011H2/2012,0.25830089306159837,0.4550625711035267,0.11124008350730691
-0.03587126448375108,BikeSharingHourly,rejected,calendar,-0.062319405291358584,-0.17812123561087387,-0.11372206418133235,IF x16 = 1 THEN y = 1 decreases,0.26147704590818366,0.3361847733105218,bike_holiday = 1 -> P(y=1) decreases,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak,2011H1/2011H2/2012,0.029883215021754065,0.03253697383390216,-0.028620015920109987
0.044297524353134166,BikeSharingHourly,rejected,calendar,0.14624160479038242,0.07326801010531492,0.10780682416881571,IF x22 = 1 THEN y = 1 increases,0.017964071856287425,0.02487333026255182,bike_september = 1 -> P(y=1) increases,weak validation effect; matched counterfactual contrast is weak,2011H1/2011H2/2012,0.082436455232425,0.16313993174061434,0.04255086787662027
0.016360846442949013,BikeSharingHourly,rejected,weather,0.11239355376656683,0.0697270972808637,0.09072034894411357,IF x20 = 1 AND x8 = 1 THEN y = 1 increases,0.16167664670658682,0.2155688622754491,bike_temp_mild = 1 AND bike_clear_weather = 1 -> P(y=1) increases,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak,2011H1/2011H2/2012,0.34279825967483396,0.3226393629124005,0.016064155232428434
-0.038435992196557224,BikeSharingHourly,rejected,calendar,0.11460828552161816,0.06617441087747088,0.08998363955795385,IF x1 = 1 THEN y = 1 increases,0.9900199600798403,1.0,bike_workingday = 1 -> P(y=1) increases,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak,2011H1/2011H2/2012,0.6817036867414701,0.6812286689419795,-0.034713967549660385
0.0,BikeSharingHourly,rejected,season,0.10769505332303425,0.05852672980999786,0.0832836137628215,IF x19 = 1 THEN y = 1 increases,1.0,1.0,bike_spring = 1 -> P(y=1) increases,insufficient support; weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak,2011H1/2011H2/2012,0.2525761392260133,0.0,0.0
0.03587126448375108,BikeSharingHourly,rejected,calendar,-0.05605043920901702,-0.10185729907412795,-0.0790726759811275,IF x7 = 1 THEN y = 1 decreases,0.9960079840319361,1.0,bike_weekend = 1 -> P(y=1) decreases,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak,2011H1/2011H2/2012,0.2884130982367758,0.28623435722411833,0.04130732581481705
-0.03587126448375108,BikeSharingHourly,rejected,calendar,0.10185729907412795,0.056050439209017006,0.0790726759811275,IF x17 = 1 THEN y = 1 increases,0.9960079840319361,1.0,bike_weekday = 1 -> P(y=1) increases,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak,2011H1/2011H2/2012,0.7115869017632241,0.7137656427758817,-0.04130732581481705
-0.036999784654223475,BikeSharingHourly,rejected,weather,0.08427446772562391,0.04354842179003418,0.0649661529864814,IF x20 = 1 THEN y = 1 increases,1.0,1.0,bike_temp_mild = 1 -> P(y=1) increases,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak,2011H1/2011H2/2012,0.52759331348752,0.5506257110352674,-0.04379119154723293
0.055084906162955104,BikeSharingHourly,rejected,weather,0.09056419665550122,0.03240437746326889,0.06151101756907634,IF x13 = 1 THEN y = 1 decreases,0.9600798403193613,1.0,bike_wind_high = 1 -> P(y=1) decreases,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,2011H1/2011H2/2012,0.13315777421570874,0.10875995449374289,0.03917213134892106
0.18328944378658765,BikeSharingHourly,rejected,season,0.059271559777046914,0.007937415746444956,0.03374205808109104,IF x18 = 1 THEN y = 1 increases,1.0,1.0,bike_fall = 1 -> P(y=1) increases,weak validation effect; not significant after FDR correction; held-out effect does not replicate,2011H1/2011H2/2012,0.24021067094114953,0.48555176336746303,-0.05893731240831557
