accepted,achieved_fdr,method,null_accepted,null_proposals,seed
2,0.0,RawP,0,10,101
2,0.0,BH,0,10,101
1,0.0,BY,0,10,101
2,0.0,RawP,0,10,102
2,0.0,BH,0,10,102
1,0.0,BY,0,10,102
3,0.3333333333333333,RawP,1,10,103
2,0.0,BH,0,10,103
1,0.0,BY,0,10,103
2,0.0,RawP,0,10,104
2,0.0,BH,0,10,104
1,0.0,BY,0,10,104
3,0.3333333333333333,RawP,1,10,105
2,0.0,BH,0,10,105
1,0.0,BY,0,10,105
2,0.0,RawP,0,10,106
2,0.0,BH,0,10,106
1,0.0,BY,0,10,106
3,0.3333333333333333,RawP,1,10,107
3,0.3333333333333333,BH,1,10,107
1,0.0,BY,0,10,107
3,0.3333333333333333,RawP,1,10,108
2,0.0,BH,0,10,108
1,0.0,BY,0,10,108
3,0.3333333333333333,RawP,1,10,109
2,0.0,BH,0,10,109
1,0.0,BY,0,10,109
2,0.0,RawP,0,10,110
2,0.0,BH,0,10,110
1,0.0,BY,0,10,110
2,0.0,RawP,0,10,111
2,0.0,BH,0,10,111
1,0.0,BY,0,10,111
2,0.0,RawP,0,10,112
2,0.0,BH,0,10,112
1,0.0,BY,0,10,112
2,0.0,RawP,0,10,113
2,0.0,BH,0,10,113
1,0.0,BY,0,10,113
3,0.3333333333333333,RawP,1,10,114
2,0.0,BH,0,10,114
1,0.0,BY,0,10,114
2,0.0,RawP,0,10,115
2,0.0,BH,0,10,115
1,0.0,BY,0,10,115
2,0.0,RawP,0,10,116
2,0.0,BH,0,10,116
1,0.0,BY,0,10,116
2,0.0,RawP,0,10,117
2,0.0,BH,0,10,117
1,0.0,BY,0,10,117
2,0.0,RawP,0,10,118
2,0.0,BH,0,10,118
1,0.0,BY,0,10,118
2,0.0,RawP,0,10,119
2,0.0,BH,0,10,119
1,0.0,BY,0,10,119
2,0.0,RawP,0,10,120
2,0.0,BH,0,10,120
1,0.0,BY,0,10,120
3,0.3333333333333333,RawP,1,10,121
3,0.3333333333333333,BH,1,10,121
3,0.3333333333333333,BY,1,10,121
3,0.3333333333333333,RawP,1,10,122
2,0.0,BH,0,10,122
1,0.0,BY,0,10,122
2,0.0,RawP,0,10,123
2,0.0,BH,0,10,123
1,0.0,BY,0,10,123
3,0.3333333333333333,RawP,1,10,124
3,0.3333333333333333,BH,1,10,124
3,0.3333333333333333,BY,1,10,124
2,0.0,RawP,0,10,125
2,0.0,BH,0,10,125
1,0.0,BY,0,10,125
3,0.3333333333333333,RawP,1,10,126
2,0.0,BH,0,10,126
1,0.0,BY,0,10,126
3,0.3333333333333333,RawP,1,10,127
2,0.0,BH,0,10,127
1,0.0,BY,0,10,127
2,0.0,RawP,0,10,128
2,0.0,BH,0,10,128
1,0.0,BY,0,10,128
3,0.3333333333333333,RawP,1,10,129
3,0.3333333333333333,BH,1,10,129
1,0.0,BY,0,10,129
2,0.0,RawP,0,10,130
2,0.0,BH,0,10,130
1,0.0,BY,0,10,130
3,0.3333333333333333,RawP,1,10,131
2,0.0,BH,0,10,131
1,0.0,BY,0,10,131
2,0.0,RawP,0,10,132
2,0.0,BH,0,10,132
1,0.0,BY,0,10,132
3,0.3333333333333333,RawP,1,10,133
2,0.0,BH,0,10,133
1,0.0,BY,0,10,133
2,0.0,RawP,0,10,134
2,0.0,BH,0,10,134
1,0.0,BY,0,10,134
4,0.5,RawP,2,10,135
2,0.0,BH,0,10,135
1,0.0,BY,0,10,135
4,0.5,RawP,2,10,136
3,0.3333333333333333,BH,1,10,136
3,0.3333333333333333,BY,1,10,136
3,0.3333333333333333,RawP,1,10,137
2,0.0,BH,0,10,137
1,0.0,BY,0,10,137
2,0.0,RawP,0,10,138
2,0.0,BH,0,10,138
1,0.0,BY,0,10,138
2,0.0,RawP,0,10,139
2,0.0,BH,0,10,139
1,0.0,BY,0,10,139
2,0.0,RawP,0,10,140
2,0.0,BH,0,10,140
1,0.0,BY,0,10,140
3,0.3333333333333333,RawP,1,10,141
2,0.0,BH,0,10,141
1,0.0,BY,0,10,141
2,0.0,RawP,0,10,142
2,0.0,BH,0,10,142
1,0.0,BY,0,10,142
2,0.0,RawP,0,10,143
2,0.0,BH,0,10,143
1,0.0,BY,0,10,143
2,0.0,RawP,0,10,144
2,0.0,BH,0,10,144
1,0.0,BY,0,10,144
2,0.0,RawP,0,10,145
2,0.0,BH,0,10,145
1,0.0,BY,0,10,145
2,0.0,RawP,0,10,146
2,0.0,BH,0,10,146
1,0.0,BY,0,10,146
3,0.3333333333333333,RawP,1,10,147
2,0.0,BH,0,10,147
1,0.0,BY,0,10,147
2,0.0,RawP,0,10,148
2,0.0,BH,0,10,148
1,0.0,BY,0,10,148
4,0.5,RawP,2,10,149
4,0.5,BH,2,10,149
1,0.0,BY,0,10,149
2,0.0,RawP,0,10,150
2,0.0,BH,0,10,150
1,0.0,BY,0,10,150
2,0.0,RawP,0,10,151
2,0.0,BH,0,10,151
1,0.0,BY,0,10,151
3,0.3333333333333333,RawP,1,10,152
3,0.3333333333333333,BH,1,10,152
1,0.0,BY,0,10,152
3,0.3333333333333333,RawP,1,10,153
2,0.0,BH,0,10,153
1,0.0,BY,0,10,153
2,0.0,RawP,0,10,154
2,0.0,BH,0,10,154
1,0.0,BY,0,10,154
2,0.0,RawP,0,10,155
